iter	Passed	Remaining
0	32	32033
1	52	26105
2	71	23776
3	91	22823
4	111	22264
5	131	21799
6	150	21364
7	169	21048
8	189	20828
9	208	20660
10	230	20755
11	256	21130
12	285	21690
13	315	22210
14	345	22675
15	390	24010
16	425	24593
17	453	24750
18	484	25023
19	527	25863
20	603	28153
21	662	29473
22	736	31277
23	788	32051
24	882	34429
25	952	35693
26	1035	37326
27	1090	37853
28	1151	38558
29	1212	39192
30	1281	40060
31	1348	40806
32	1418	41571
33	1468	41723
34	1507	41566
35	1550	41519
36	1588	41353
37	1620	41022
38	1649	40640
39	1679	40303
40	1711	40043
41	1742	39737
42	1775	39512
43	1806	39240
44	1837	38987
45	1876	38910
46	1906	38654
47	1936	38398
48	1977	38383
49	2030	38570
50	2073	38579
51	2108	38437
52	2144	38317
53	2176	38122
54	2206	37910
55	2235	37692
56	2266	37503
57	2300	37358
58	2329	37154
59	2362	37013
60	2395	36871
61	2427	36728
62	2458	36563
63	2490	36418
64	2524	36307
65	2555	36160
66	2600	36207
67	2634	36108
68	2666	35984
69	2703	35921
70	2734	35785
71	2761	35586
72	2797	35527
73	2828	35390
74	2862	35303
75	2893	35175
76	2925	35064
77	2956	34949
78	2989	34847
79	3020	34740
80	3054	34650
81	3084	34535
82	3117	34443
83	3148	34328
84	3183	34271
85	3210	34126
86	3244	34050
87	3278	33981
88	3313	33916
89	3344	33820
90	3378	33745
91	3412	33683
92	3450	33648
93	3499	33730
94	3551	33834
95	3633	34218
96	3678	34245
97	3726	34303
98	3787	34466
99	3841	34569
100	3885	34587
101	3926	34565
102	3961	34500
103	3995	34423
104	4030	34353
105	4062	34265
106	4094	34171
107	4124	34068
108	4154	33962
109	4184	33855
110	4219	33790
111	4253	33722
112	4285	33638
113	4315	33539
114	4351	33484
115	4381	33393
116	4417	33337
117	4448	33250
118	4479	33163
119	4512	33090
120	4546	33024
121	4585	32997
122	4626	32987
123	4657	32903
124	4696	32878
125	4731	32822
126	4764	32753
127	4796	32673
128	4829	32610
129	4860	32526
130	4892	32454
131	4926	32392
132	4956	32313
133	4990	32250
134	5020	32165
135	5053	32103
136	5083	32025
137	5117	31966
138	5148	31891
139	5180	31822
140	5212	31753
141	5244	31691
142	5277	31626
143	5313	31583
144	5343	31509
145	5375	31442
146	5405	31365
147	5434	31282
148	5468	31235
149	5504	31189
150	5539	31147
151	5572	31089
152	5606	31039
153	5643	31002
154	5678	30957
155	5713	30910
156	5744	30843
157	5777	30789
158	5809	30728
159	5842	30673
160	5875	30616
161	5907	30559
162	5936	30486
163	5970	30434
164	6001	30372
165	6036	30329
166	6080	30329
167	6129	30356
168	6184	30408
169	6233	30436
170	6279	30443
171	6331	30478
172	6386	30530
173	6434	30544
174	6484	30568
175	6532	30582
176	6593	30658
177	6642	30677
178	6699	30726
179	6754	30771
180	6803	30783
181	6857	30820
182	6914	30867
183	6967	30901
184	7026	30956
185	7085	31008
186	7138	31034
187	7199	31094
188	7262	31162
189	7309	31163
190	7364	31191
191	7419	31224
192	7467	31223
193	7514	31219
194	7548	31162
195	7585	31115
196	7617	31049
197	7652	30995
198	7683	30928
199	7717	30871
200	7750	30808
201	7784	30751
202	7815	30686
203	7846	30615
204	7878	30552
205	7911	30492
206	7943	30429
207	7973	30360
208	8007	30305
209	8041	30250
210	8096	30276
211	8135	30240
212	8165	30171
213	8205	30138
214	8236	30073
215	8272	30025
216	8307	29976
217	8339	29916
218	8376	29871
219	8410	29818
220	8445	29769
221	8480	29718
222	8531	29726
223	8615	29847
224	8661	29835
225	8708	29825
226	8770	29867
227	8825	29881
228	8894	29947
229	8952	29970
230	9014	30009
231	9057	29984
232	9103	29967
233	9140	29922
234	9177	29875
235	9212	29823
236	9242	29756
237	9281	29716
238	9314	29659
239	9347	29599
240	9383	29550
241	9417	29497
242	9450	29440
243	9481	29376
244	9518	29332
245	9553	29282
246	9587	29228
247	9623	29181
248	9654	29117
249	9686	29058
250	9719	29004
251	9754	28953
252	9786	28894
253	9820	28841
254	9855	28792
255	9887	28736
256	9917	28672
257	9951	28620
258	9984	28566
259	10023	28528
260	10054	28468
261	10084	28407
262	10121	28364
263	10155	28313
264	10190	28263
265	10222	28208
266	10256	28158
267	10290	28106
268	10320	28046
269	10355	27998
270	10386	27939
271	10423	27898
272	10457	27848
273	10489	27793
274	10524	27746
275	10557	27695
276	10595	27656
277	10629	27604
278	10659	27547
279	10698	27511
280	10740	27481
281	10774	27432
282	10812	27393
283	10850	27355
284	10888	27316
285	10924	27272
286	10962	27234
287	10995	27182
288	11031	27140
289	11063	27086
